# real
bohemian_rhapsody,0:00:46,2:08:31
cast_away,0:00:46,2:16:48
lady_bird,0:00:25,1:28:30
life_as_we_know_it,0:00:28,1:50:28
moonlight,0:00:35,1:46:23
notting_hill,0:00:39,1:59:52
saving_private_ryan,0:00:27,2:41:40
the_holiday,0:00:20,2:10:10
the_kings_speech,0:00:42,1:51:28
the_shawshank_redemption,0:01:01,2:18:19

# synth
a_bugs_life,0:00:29,1:28:23
cloudy_with_a_chance_of_meatballs,0:00:52,1:21:16
coco,0:00:47,1:36:03
despicable_me,0:01:06,1:27:30
frozen,0:01:45,1:32:22
ratatouille,0:01:35,1:42:42
tangled,0:00:55,1:31:11
the_adventures_of_tintin,0:04:03,1:40:15
toy_story,0:00:49,1:17:04
zootopia,0:01:03,1:36:27
